year,month,day,hour,doy,nee,nee_gf,gpp,gpp_gf,sif
2019,1,20,18.25,20,,0.372595,,0.011064,
2019,1,20,19.25,20,,0.41075,,-0.0110784,
2019,1,20,20.25,20,,0.40824,,0.01323064,
2019,1,20,21.25,20,,0.448095,,-0.022265,
2019,1,20,22.25,20,,0.465915,,-0.037539,
2019,1,20,23.25,20,,0.40497,,0.03090885,
2019,1,21,0.25,21,,0.405615,,0.039967,
2019,1,21,1.25,21,,0.426235,,0.0287815,
2019,1,21,2.25,21,,0.419875,,0.044504,
2019,1,21,3.25,21,,0.42461,,0.039823,
2019,1,21,4.25,21,,0.400505,,0.064,
2019,1,21,5.25,21,,0.40425,,0.070479,
2019,1,21,6.25,21,,0.37713,,0.1033245,
2019,1,21,7.25,21,,0.375135,,0.117255,
2019,1,21,8.25,21,,0.38836,,0.12452,
2019,1,21,9.25,21,,0.37037,,0.16092,
2019,1,21,10.25,21,,0.341125,,0.19605,
